pair_idx,A_idx,B_idx,n_layers_A,n_layers_B,n_shared_layers,cosine_delta_A_delta_B_solo,magnitude_delta_A,magnitude_delta_B_solo,p_A_postA,p_B_solo,p_A_postAB,p_B_postAB,A_displaced,status
0,11,1221,5,5,8,-0.0039637499721720815,68.74749507155356,52.05121965692483,0.9999957084655762,1.0,7.433693959869869e-14,0.27230390906333923,0.9999957084655018,ok
1,231,2065,5,5,9,0.0022382685112663442,72.2236985640956,86.42466851331696,0.9954747557640076,1.0,1.5671059489439285e-19,0.9999992847442627,0.9954747557640076,ok
2,257,4161,5,5,8,-0.0009516452955722343,72.63435910139438,84.87949149336296,0.9999920129776001,0.9999983310699463,0.9967029690742493,0.0031742483843117952,0.00328904390335083,ok
3,410,1895,5,5,9,0.0019475879768530528,74.08039241942247,78.87796522754311,0.9999998807907104,0.9998875856399536,3.113274922608374e-19,0.9992185831069946,0.9999998807907104,ok
4,431,1516,5,5,10,-0.0003164083434967324,72.01775183654266,90.30425527353522,1.0,1.0,1.4380713620246698e-17,0.9999998807907104,1.0,ok
5,461,1933,5,5,7,0.0007512167337284024,60.26756999146208,81.40774050938738,0.9920187592506409,1.0,2.5536972407200937e-22,1.0,0.9920187592506409,ok
6,547,3075,5,5,10,-0.001332194113638252,72.28065722033195,84.55433018727054,0.9999886751174927,1.0,2.6093214366591694e-39,1.0,0.9999886751174927,ok
7,584,4162,5,5,9,0.002763785370108154,71.284458755458,78.49277652623122,0.9999449253082275,0.9999499320983887,3.057610533273509e-16,0.9999240636825562,0.9999449253082272,ok
8,750,1676,5,5,8,-0.0017575428501004353,74.16277412172288,87.34431077917027,0.9999998807907104,0.9999995231628418,1.9332578073127937e-12,0.9999990463256836,0.9999998807887772,ok
9,753,3134,5,5,10,-0.0032109103980474175,73.23046489521647,84.60229746627608,1.0,1.0,0.966155469417572,0.9999991655349731,0.03384453058242798,ok
