pair_idx,A_idx,B_idx,condition,p_A_postA,p_A_after_B,p_B_after_B,A_displaced,status
0,11,1221,skip,0.9999942779541016,0.9999942779541016,2.093674626030273e-12,0.0,ok
0,11,1221,full,0.9999942779541016,2.342247310842144e-18,1.0,0.9999942779541016,ok
0,11,1221,lora,0.9999942779541016,0.999995231628418,0.09621730446815491,0.0,ok
1,231,2065,skip,0.9982522130012512,0.9982522130012512,1.2246295877748202e-21,0.0,ok
1,231,2065,full,0.9982522130012512,0.22759640216827393,0.0017113361973315477,0.7706558108329773,ok
1,231,2065,lora,0.9982522130012512,0.9597712755203247,0.9999995231628418,0.038480937480926514,ok
2,257,4161,skip,0.9999929666519165,0.9999929666519165,1.3118983233084691e-08,0.0,ok
2,257,4161,full,0.9999929666519165,1.993668851218929e-18,1.7976244635065086e-05,0.9999929666519165,ok
2,257,4161,lora,0.9999929666519165,0.9999916553497314,4.5486049771170656e-07,1.3113021850585938e-06,ok
3,410,1895,skip,1.0,1.0,1.4946071730324481e-22,0.0,ok
3,410,1895,full,1.0,1.753448694375415e-17,0.9997153878211975,1.0,ok
3,410,1895,lora,1.0,1.0,0.6291695237159729,0.0,ok
4,431,1516,skip,1.0,1.0,1.6542907488314995e-08,0.0,ok
4,431,1516,full,1.0,0.9966541528701782,1.4947401723475195e-05,0.0033458471298217773,ok
4,431,1516,lora,1.0,0.9999996423721313,4.223685020332914e-19,3.5762786865234375e-07,ok
5,461,1933,skip,0.9909891486167908,0.9909891486167908,6.827955903970431e-20,0.0,ok
5,461,1933,full,0.9909891486167908,7.02054969470415e-29,1.0,0.9909891486167908,ok
5,461,1933,lora,0.9909891486167908,4.386959524965923e-25,1.0,0.9909891486167908,ok
6,547,3075,skip,0.9999352693557739,0.9999352693557739,1.8462973372379565e-09,0.0,ok
6,547,3075,full,0.9999352693557739,1.3450844954136117e-27,1.0,0.9999352693557739,ok
6,547,3075,lora,0.9999352693557739,0.9950981736183167,0.9999772310256958,0.004837095737457275,ok
7,584,4162,skip,0.9999996423721313,0.9999996423721313,7.346856383488661e-19,0.0,ok
7,584,4162,full,0.9999996423721313,1.3580546409652783e-11,0.9920964241027832,0.9999996423585508,ok
7,584,4162,lora,0.9999996423721313,1.3842005319730788e-10,0.9996417760848999,0.9999996422337113,ok
8,750,1676,skip,1.0,1.0,9.956254842791168e-08,0.0,ok
8,750,1676,full,1.0,3.4554321359792084e-07,0.9998987913131714,0.9999996544567864,ok
8,750,1676,lora,1.0,1.0,0.9999752044677734,0.0,ok
9,753,3134,skip,1.0,1.0,1.0977094251903643e-26,0.0,ok
9,753,3134,full,1.0,9.50449383541395e-18,1.0,1.0,ok
9,753,3134,lora,1.0,1.0,1.580205421809061e-13,0.0,ok
