pair_idx,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27
0,0.0,0.0,0.9818166489727076,2.887748227719333,4.126412156151114,5.511560851355738,6.85105121803376,7.440859689054747,11.065725859882235,13.359240004409108,12.47788522630532,11.394311729272832,11.922038710451124,9.42528704113616,10.612205689627682,7.923441124893006,7.31427013811923,7.55409538127077,8.931182469716171,35.586520048212186,59.74861006541642,75.5901326384158,89.28752308196621,101.5360973604405,103.90611956330629,105.35214618219415,139.22854606094987,377.17826692066296
1,0.0,-0.7772311922643332,3.5615631654340696,9.348142815986709,8.347107054734906,9.06528664658569,7.362678003237479,5.292382801310667,6.559212014600095,11.141144103175032,13.948883342229319,17.574483033596596,21.967846670214577,29.664370757900762,31.928011754316227,28.025601704554465,37.406862158779035,34.98455578400874,40.939848164072764,43.43608210828057,68.75222390729243,110.87057592198278,148.55973941414337,156.87864913282186,173.09234500608113,197.24034890736147,198.74420114207155,140.01694277171407
2,0.0,0.0,0.0,0.0,1.2497327565440148,2.68085569977214,1.6727179086059099,1.602419377265804,0.5352199312199569,-0.03407036680240563,7.484027072529995,10.200777785654529,14.416754860735006,15.53768472052223,13.855446479176395,15.112583029779842,34.87580003316442,36.625953092647244,35.840892223038736,45.365338449529936,45.147989520788975,48.221669808662284,46.167913041132245,36.99962104743848,49.28162812775968,46.000004344768975,22.37108027833953,34.67367995970218
3,0.0,0.0,0.0,0.6073316121676241,0.46354615785035913,0.5342159256232998,1.1371392100276787,1.8540819181144506,2.41677396773996,1.7150859686088724,1.4182107632159684,0.7576676811888623,1.1881761316550148,2.2970182937644057,3.9622381762798877,5.0058613110018335,6.896443404333606,5.903960902846601,6.813481716408277,14.174653211550972,18.617438203398276,23.179813186323685,35.16085580774262,50.06480802743431,61.1485667277611,57.127444041688264,92.26673831530876,54.2909953807729
4,0.0,0.7239945190061229,1.8759194457917867,3.1582761235097774,2.777460316710325,2.9566417333370327,3.936656065533316,4.196179055620856,5.547720966776623,5.827630670267401,3.2897306698587987,5.054389827071411,6.168680944598057,4.301780142827996,6.239769634002874,5.283372997259334,7.190544105926294,14.29790507285785,21.986922767181692,38.37803157860159,52.9984941190517,62.16524324165396,105.8790513801096,65.81996685193224,97.9689177971809,118.7781339526115,110.69654165909324,370.31056450021174
5,1.6244390212922424,-7.563402452775568,-5.834318604400812,-4.570598898622876,-4.294541006756143,-2.124191519021395,-1.842503732131453,-0.5339902494126383,3.966917635683062,5.019534884502955,6.9138015547066995,7.899091500919531,9.147384013068937,10.963389026504865,13.911558444203317,12.685458216862664,22.53019330026606,23.87005209478711,26.32810657581767,30.66947974133251,49.57676459687063,43.5470407944728,69.84624921140201,119.25454072860401,156.87609923531147,168.33462310277466,343.529764100143,407.90439139191653
6,0.0,0.0,0.0,7.482038852787885,8.813592958238791,8.637645972545725,8.81423169135482,11.008956925310374,12.426998112673113,10.631474302881706,20.697187321117312,21.871327859196583,23.40148070110662,20.60351401670421,27.762699098067372,25.15175254134235,22.55799862684124,19.45168813732421,25.654803603618102,35.42443669608934,37.919103785639685,44.8847637602573,18.568747826303238,18.840719713300466,25.895871897564284,29.13675896375862,285.47078281831705,325.28417138029084
7,0.0,0.0,0.0,0.0,0.0,0.0,9.473447395885886,9.479883588228356,10.862094295335682,10.537226457436507,9.397496822859125,9.334114430546435,8.704763464715901,8.448117227260216,7.706926022190372,7.355639521534949,5.96730315925931,6.285975716399354,7.8536431606793204,8.442091804387637,10.098554367381219,60.83988036710419,56.30515959434246,107.46078999046897,110.12274848909847,114.84034268162134,228.1633815588551,633.1236955841497
8,0.0,0.0,4.1457561359309,3.885104937578416,2.7329837200091744,3.5053811565864836,2.919797526364708,3.288117814449176,2.839625551570413,1.6597538206584148,3.5573682234682202,3.0741273263941715,3.440398433524389,2.3347020371859144,2.582583138954821,1.703336172803095,2.3081512512563136,2.3450924858414743,5.123390928613213,5.190383260976808,9.583842255325171,25.472435499710993,30.085135213755912,24.217434316192563,11.288621597348593,-11.020612132367072,-13.969986914071837,36.08933391402043
9,0.0,0.0,0.0,0.0,0.0,0.8829999152931944,1.7922101456500832,8.491326090519186,9.302050292494451,8.936806112394414,11.580849151622465,11.6552660181593,13.139009706569087,13.785522627801363,14.810882732368771,14.372549342807195,16.718847311239024,21.371826967102482,23.44211672051319,27.743406639057792,30.463772735564127,32.61338091715628,34.67218774279032,59.69847440209876,49.82813088399414,85.42641168876159,68.81865259955384,78.28856233310805
